Id,Name,Link,ConformanceUnits
1002,IRootCauseIndicationType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.4.2","AMB Asset Health Status Root Causes;"
1003,ConnectionFailureConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.2","AMB Asset Health Status Alarm Categories;"
1004,OverTemperatureConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.3","AMB Asset Health Status Alarm Categories;"
1005,CalibrationDueConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.4","AMB Asset Health Status Alarm Categories;"
1006,SelfTestFailureConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.5","AMB Asset Health Status Alarm Categories;"
1007,FlashUpdateInProgressConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.6","AMB Asset Health Status Alarm Categories;"
1008,BadConfigurationConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.8","AMB Asset Health Status Alarm Categories;"
1009,OutOfResourcesConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.9","AMB Asset Health Status Alarm Categories;"
1010,OutOfMemoryConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.10","AMB Asset Health Status Alarm Categories;"
1011,DocumentationLinksType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/10.5.2","AMB DocumentationLinks Base;"
1012,IMaintenanceEventType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.2","AMB Current and Future Maintenance Activities;"
1013,MaintenanceEventStateMachineType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.3","AMB Current and Future Maintenance Activities;"
1014,InspectionConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.4.2","AMB Current and Future Maintenance Activities;"
1015,ExternalCheckConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.4.3","AMB Current and Future Maintenance Activities;"
1016,ServicingConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.4.4","AMB Current and Future Maintenance Activities;"
1017,RepairConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.4.5","AMB Current and Future Maintenance Activities;"
1018,ImprovementConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.4.6","AMB Current and Future Maintenance Activities;"
1019,FlashUpdateFailedConditionClassType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.5.7","AMB Asset Health Status Alarm Categories;"
3002,RootCauseDataType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/9.4.3","AMB Asset Health Status Root Causes;"
3003,NameNodeIdDataType,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.5","AMB Current and Future Maintenance Activities;"
3004,MaintenanceMethodEnum,"https://reference.opcfoundation.org/v105/AMB/v100/docs/12.6","AMB Current and Future Maintenance Activities;"
5002,Assets,"https://reference.opcfoundation.org/v105/AMB/v100/docs/8.2.1","AMB Asset Discovery by ProductInstanceUri;AMB Asset Discovery by AssetId;"
5003,AssetsByProductInstanceUri,"https://reference.opcfoundation.org/v105/AMB/v100/docs/8.2.2","AMB Asset Discovery by ProductInstanceUri;"
5004,AssetsByAssetId,"https://reference.opcfoundation.org/v105/AMB/v100/docs/8.2.3","AMB Asset Discovery by AssetId;"
5018,http://opcfoundation.org/UA/AMB/,"https://reference.opcfoundation.org/v105/AMB/v100/docs/14.1",""
7004,AddLink,"https://reference.opcfoundation.org/v105/AMB/v100/docs/10.5.3","AMB DocumentationLinks Base;"
7005,RemoveLink,"https://reference.opcfoundation.org/v105/AMB/v100/docs/10.5.4","AMB DocumentationLinks Base;"
